Location,Community Name,Builder,City,Street Address,Zip Code,"Latitude, Longitude",Home Type(s),Website,Price (Low),Price (High),Square Footage (Min),Square Footage (Max)
17,Discovery at Blue Horizons,Lennar,Buckeye,458 S 197th Drive,85326,"33.4439875,-112.4852105","Single Family, Detached",https://www.lennar.com/new-homes/arizona/phoenix/buckeye/discovery-at-blue-horizon,190990,260990,1424,2903
18,Encore at Victory at Verrado (55+),Lennar,Buckeye,20810 W. Pasadena Avenue,85396,"33.5088408,-112.5097275","Single Family, Detached",https://www.lennar.com/new-homes/arizona/phoenix/buckeye/encore-at-victory-at-verrado,310990,347990,1897,2136
19,Inspiration at Victory at Verrado (55+),Lennar,Buckeye,20910 W Pasadena Ave,85396,"33.5089292,-112.50972","Single Family, Detached",https://www.lennar.com/new-homes/arizona/phoenix/buckeye/inspiration-at-victory-verrado,219990,249990,1222,1657
20,Sienna Hills,Richmond American Homes,Buckeye,1641 N. 214th Avenue,85396,"33.46479,-112.5228297","Single Family, Detached",https://www.richmondamerican.com/arizona/phoenix-new-homes/buckeye/sienna-hills/,233990,297990,1937,3439
21,Sienna Hills II,Richmond American Homes,Buckeye,21284 E. Almeria Road,85396,"33.466296,-112.5192097","Single Family, Detached",https://www.richmondamerican.com/arizona/phoenix-new-homes/buckeye/sienna-hills-ii/,209990,268990,1597,3097
22,Festival Foothills (Sun City Festival),Pulte Homes,Buckeye,20432 N. 260th Ave,85396,"33.6681437,-112.6146731","Single Family, Detached",https://www.pulte.com/homes/arizona/phoenix/buckeye/festival-foothills-209176,180990,236990,1398,2693
23,Sienna Hills Stetson Collection,Beazer Homes,Buckeye,1942 N 212th Lane,85396,"33.335628,-112.5095923","Single Family, Detached",https://www.beazer.com/phoenix-AZ/sienna-hills-stetson-collection,221400,267400,1610,2880
24,Sienna Hills Gallery Collection,Beazer Homes,Buckeye,21362 W Berkeley Rd,85396,"33.4672488,-112.5174934","Single Family, Detached",https://www.beazer.com/phoenix-AZ/sienna-hills-gallery-collection,248400,300400,1942,3113
25,Barrington at Verrado,William Ryan Homes,Buckeye,2306 N. Park St.,85396,"33.4720296,-112.5044413","Single Family, Detached",http://www.williamryanhomes.com/barrington-at-verrado,239990,299990,1981,3238
26,Crystal Vista,LGI Homes,Buckeye,24357 W. Gregory Rd.,85326,"33.4022032,-112.5741992","Single Family, Detached",http://www.lgihomes.com/community.cfm?id=crystalvista,,,,
10,Golf Canyon at Estrella - The Enclave,David Weekly Homes,Goodyear,18285 W. Sequoia Dr.,85338,"33.334056, -112.444969","Single Family, Detached",http://www.davidweekleyhomes.com/new-homes/az/phoenix/goodyear/the-enclave,"$299,990","$349,990",2117,2671
27,Sundance,LGI Homes,Buckeye,22645 W. Gardenia Dr.,85326,"33.4460627,-112.5463636","Single Family, Detached",http://www.lgihomes.com/community.cfm?id=sundance,,,,
11,Golf Canyon at Estrella - The Reserve,David Weekly Homes,Goodyear,18254 W. Desert Sage,85338,"33.335037, -112.444795","Single Family, Detached",http://www.davidweekleyhomes.com/new-homes/az/phoenix/goodyear/the-reserve,"$388,990","$44,490",2563,3878
28,Vallarta at Verrado,Shea Homes,Buckeye,20753 W. Canyon Drive,85396,"33.4860592,-112.5080673","Single Family, Attached",http://www.sheahomes.com/community/vallarta/,251990,280990,2137,2548
12,Overlook at Estrella,Beazer Homes,Goodyear,17563 W Summit Dr,85338,"33.347623, -112.430853","Single Family, Detached",https://www.beazer.com/phoenix-AZ/overlook-at-estrella,"$231,990","$278,900",1610,2659
29,Watson Estates,Meritage Homes,Buckeye,2414 W. Hammond Lane,85326,"33.42477,-112.5614907","Single Family, Detached",https://www.meritagehomes.com/search/phoenix-az/watson-estates/#.WMbsyHe-KgQ,181990,216990,1613,2377
13,Golf Ridge in Estrella - Gated Community,William Ryan Homes,Goodyear,12175 S. 184th Ave,85338,"33.333163, -112.447573","Single Family, Detached",http://www.williamryanhomes.com/golf-ridge-in-estrella,"$237,990","$294,990",1912,2909
30,Sienna Hills,Meritage Homes,Buckeye,2065 N. 213 Dr.,85326,"33.4655712,-112.5219244","Single Family, Detached",https://www.meritagehomes.com/search/phoenix-az/sienna-hills/#.WMbszne-KgQ,200990,255990,1613,2909
31,Lincoln Heights at Verrado,Meritage Homes,Buckeye,20610 W. Park Meadows Drive,85396,"33.4706774,-112.5054196","Single Family, Detached",https://www.meritagehomes.com/search/phoenix-az/lincoln-heights-at-verrado/#.WMbs2Xe-KgQ,266990,321990,2278,3675
15,Canyon Trails - Villagio Series,Gehan Homes,Goodyear,16851 W Woodlands Ave,85338,"33.449373, -112.421482","Single Family, Detached",http://www.gehanhomes.com/find-your-new-home/phoenix/goodyear/canyon-trails-villagio-series,"$246,990","$297,990",1896,2142
32,Kensington at Verrado,Meritage Homes,Buckeye,2265 N. Park Street,85396,"33.4720296,-112.5044413","Single Family, Detached",https://www.meritagehomes.com/search/phoenix-az/kensington-at-verrado/#.WMbs1ne-KgQ,291990,366990,2258,4328
16,Estrella - Palazzo Series,Gehan Homes,Goodyear,18415 W Thunderhill Pl,85338,"33.308870, -112.438941","Single Family, Detached",http://www.gehanhomes.com/find-your-new-home/phoenix/goodyear/estrella-palazzo-series,"$296,990","$416,990",2274,3192
17,CantaMia 55+ Community,AV Homes,Goodyear,17700 W. Star Point Dr,85338,"33.295147, -112.431249","Single Family, Detached",http://www.avhomesinc.com/en/communities/cantamia-estrella/?tab=the_community,"$183,900","$313,900",1220,2600
18,Glen River at Canyon Trails (CLOSEOUT),AV Homes,Goodyear,968 N. 169th Ave,85338,"33.457247, -112.422691","Single Family, Detached",http://www.avhomesinc.com/communities/glen-river-canyon-trails/,"$199,900","$244,900",1603,2650
19,The Village at Litchfield Park,AV Homes,Litchfield Park,14586 W. Village Pkwy,85340,"33.496226, -112.36595","Single Family, Detached",http://www.avhomesinc.com/communities/new-homes-in-litchfield-park/,"$362,900","$442,900",2445,3516
1,Stone Canyon at Estrella,KB Home,Goodyear,14927 S. 180th Dr.,85338,"33.310675, -112.43895","Single Family, Detached",http://www.kbhome.com/new-homes-phoenix/stone-canyon-at-estrella,"$225,990","$255,990",1576,2348
2,La Ventilla (Canyon Trails),KB Home,Goodyear,16419 W Latham St,85338,"33.459285, -112.446917","Single Family, Detached",http://www.kbhome.com/new-homes-phoenix/la-ventilla,"$179,990","$208,990",1483,2537
3,Sin Lomas,KB Home,Goodyear,17251 W. Gibson Ln.,85338,"33.423917, -112.430048","Single Family, Detached",http://www.kbhome.com/new-homes-phoenix/sin-lomas,"$191,990","$239,990",1547,2745
4,Travis Park,Richmond American Homes,Goodyear,556 N. 157th Dr.,85338,"33.453327, -112.398298","Single Family, Detached",https://www.richmondamerican.com/arizona/phoenix-new-homes/goodyear/travis-park/,"$238,990","$301,990",1900,3144
